주요내용,주요내용_정제,지역,원본행,세부사업명,판정,판정근거
민간복기거점기관을 활성화하여 지역내 복지자원 네크워크 구축,민간복지 거점기관을 활성화하여 지역내 복지자원 네트워크 구축,서울,165,민간복지 거점기관 활성화 사업,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
제 2기 who 고령친화도시 업무 추진,제 2기 WHO 고령친화도시 업무 추진,서울,177,모두가 만족하는 세대공감 고령친화도시 도봉 조성,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
지원대상 : 성동구민 지원내용 : 맞춤형 평생교육 지원,지원대상: 성동구민 지원내용: 맞춤형 평생교육 지원,서울,206,구민 맞춤형 평생학습 운영,공백 정리,공백 제거 후 문자열 동일
"지원대상 : 서울시 거주 여성창업기업 및 창업을 희망하는 여성 지원내용 : 입주공간 제공 및 역량강화 프로그램, 마켓팅 등 지원","지원대상 : 서울시 거주 여성창업기업 및 창업을 희망하는 여성 지원내용 : 입주공간 제공 및 역량강화 프로그램, 마케팅 등 지원",서울,223,경력단절여성 취･창업 지원(스페이스 살림 운영),명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
디지털 생활 문해교욱을 운영하여 구민의 교육기회 확대,디지털 생활 문해교육을 운영하여 구민의 교육기회 확대,서울,275,코로나19 대응 디지털 체험 문해교실 운영,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
문해교욱 대상자를 발굴 참여시켜 자신감 고취 방안 강구,문해교육 대상자를 발굴 참여시켜 자신감 고취 방안 강구,서울,277,성인문자해득 교육 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
지원대상 : 성동구민 누구나 지원내용 : 관내 정보화 소외 계층에게 정보화 교육 제공,지원대상: 성동구민 누구나 지원내용: 관내 정보화 소외 계층에게 정보화 교육 제공,서울,280,온택트 구민 정보화 교육,공백 정리,공백 제거 후 문자열 동일
"공공도서관 건립지원(지원) 대상 :  16개 구군[ ’22년 8개구 11개사업지원] (조건) 건립부지 확보, 사전행정절차(투자심사 등) 이행 내용 :  공공도서관 건립비 및 리모델링비 지원 (국비 40%, 시비30%) 구비 30% ※복합화 : 국비 50%, 시비 25% 구비 25%","공공도서관 건립지원(지원) 대상 : 16개 구군[ ’22년 8개구 11개사업지원] (조건) 건립부지 확보, 사전행정절차(투자심사 등) 이행 내용 : 공공도서관 건립비 및 리모델링비 지원 (국비 40%, 시비30%) 구비 30% ※복합화 : 국비 50%, 시비 25% 구비 25%",부산,320,든든한 육아동반자 도서관 확충,공백 정리,공백 제거 후 문자열 동일
"사업대상 : 만 19세~ 34세 부모님과 별도 거주 무주택 청년 - 소득기준 : 원가구 기준 중위소득 100% 이하이면서, 본인기준 중위소득 60% 이하 지원내용 : 월 최대 20만원 지원 (최대 240만원)","사업대상 : 만 19세~34세 부모님과 별도 거주 무주택 청년 - 소득기준 : 원가구 기준 중위소득 100% 이하이면서, 본인기준 중위소득 60% 이하 지원내용 : 월 최대 20만원 지원 (최대 240만원)",부산,384,청년월세 한시 특별지원 사업,공백 정리,공백 제거 후 문자열 동일
"구군별 육아 가사 초보아빠 30~100인 구성, 아빠간 네트워킹, 전문가 멘토링, 주간미션, 체험프로그램, 지역특화 등","구･군별 육아 가사 초보아빠 30~100인 구성, 아빠간 네트워킹, 전문가 멘토링, 주간미션, 체험프로그램, 지역특화 등",부산,425,구･군 육아아빠단,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
지원대상 : 어린이집 보육교직원 등 지원내용 : 복지수당 등 5개 사업 지원,지원대상: 어린이집 보육교직원 등 지원내용: 복지수당 등 5개 사업 지원,부산,430,보육교사 처우개선 지원,공백 정리,공백 제거 후 문자열 동일
"어린이집 교직원, 아동, 학부모 3,000명 대상으로 영유아보육박람회 및 그림그리기대회","어린이집 교직원, 아동, 학부모 3,000명 대상으로 영유아보육박람회 및 그림그리기 대회",부산,438,영유아보육박람회 및 그림그리기 대회,공백 정리,공백 제거 후 문자열 동일
"(’22년 출생)둘째이후 100만원 지급 (’21년 출생)둘째 50만원, 셋째이후 150만원 지급","('22년 출생)둘째이후 100만원 지급 ('21년 출생)둘째 50만원, 셋째이후 150만원 지급",부산,464,출산지원금 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
코로나19 감염예방 및 확산세에 대응하여 살제균청정기 렌탈지 지원으로 어린이집 방역과 안전보육 환경 조성,코로나19 감염예방 및 확산세에 대응하여 살균청정기 렌탈비 지원으로 어린이집 방역과 안전보육 환경 조성,부산,505,어린이집 제균청정기 렌탈비 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"둘째 이후 출산 가정 출산축하금 지원 - 둘째 20만원, 셋쩨이후 200만원","둘째 이후 출산 가정 출산축하금 지원 - 둘째 20만원, 셋째이후 200만원",부산,536,출산축하금 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
관내 어린이집 어린이집 냉･난방비 지원,관내 어린이집 냉･난방비 지원,부산,549,어린이집 냉･난방비 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
구청사 부설주차장 다자녀가정 차량(다자녀우대 스티커 부착 차량) 승용차요일제 제외,구청사 부설주차장 다자녀가정 차량(다자녀우대 스티커 부착 차량) 승용차 요일제 제외,부산,556,다자녀 차량 승용차 요일제 제외,공백 정리,공백 제거 후 문자열 동일
부산진구 거주 아동 및 가족 396 명 /숲 밧줄 놀이터 체험,부산진구 거주 아동 및 가족 396 명/숲 밧줄 놀이터 체험,부산,567,아동의 놀권리 보장 ‘숲밧줄 놀이터’ 운영,공백 정리,공백 제거 후 문자열 동일
관내 사립유치원12개소에 연1회 냉난방비 60만원 지원,관내 사립유치원 12개소에 연 1회 냉난방비 60만원 지원,부산,712,사립유치원 냉난방비 지원,공백 정리,공백 제거 후 문자열 동일
교육대상 : 중･고등학생 교육내용 : 중･고등학생을 대상으로 성희롱･성폭롁 예방 콘텐츠 공모 후 이를 수영구TV에 개제,교육대상 : 중･고등학생 교육내용 : 중･고등학생을 대상으로 성희롱･성폭력 예방 콘텐츠 공모 후 이를 수영구TV에 게재,부산,739,또래가 함께하는 성희롱･성폭력 예방 콘텐츠 공모,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
보육도우미를 지원하여 복육교사의 업무부담을 완화시키고 보육교직원 인력을 양성하여 안심하고 아리를 맡길수 있는 보육환경을 조성,보육도우미를 지원하여 보육교사의 업무부담을 완화시키고 보육교직원 인력을 양성하여 안심하고 아이를 맡길 수 있는 보육환경을 조성,부산,783,안심보육도우미 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
정주여건 개선 및 주민과 노인 삶의 질 향행,정주여건 개선 및 주민과 노인 삶의 질 향상,부산,867,반디문화센터 운영,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
복지시설 등에 일자리 제공12여명,복지시설 등에 일자리 제공 12여명,부산,881,노인 일자리 확충,공백 정리,공백 제거 후 문자열 동일
"구직자 취업 컨설팅, 온·오프라인 채용행사 개최·지원, 취업지원 교육 프로그램 운영, 기타 취업지원서비스에 관한 사항","구직자 취업 컨설팅, 온·오프라인 채용행사 개최·지원, 취업지원 교육 프로그램 운영, 기타 취업지원서비스에 관한 사항",부산,929,일자리종합센터 운영,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"학자금 및 신용대출 등으로 인해 채무불이행자로 전락, 사회진입에 어려움을 겪고 있는 청년들에게 1,500만원이내 1%의 저금리 자금지원을 통한 신용회복과 원활한 사회진입 지원","학자금 및 신용대출 등으로 인해 채무불이행자로 전락, 사회진입에 어려움을 겪고 있는 청년들에게 1,500만원 이내 1%의 저금리 자금지원을 통한 신용회복과 원활한 사회진입 지원",부산,961,청년신용회복지원사업 (청년부비론),공백 정리,공백 제거 후 문자열 동일
청년들의 다양한 의견을 주렴하여 청년 정책을 발굴 제안하고 지역 청년들의 교류 활성화 및 구정 참여 촉진,청년들의 다양한 의견을 수렴하여 청년 정책을 발굴 제안하고 지역 청년들의 교류 활성화 및 구정 참여 촉진,부산,1038,사하청년네트워크 운영,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
전시회 개최 통한 국내외 마케팅 기회 게종,전시회 개최 통한 국내외 마케팅 기회 개척,부산,1099,국제복지재활시니어전시회 개최,원문 유지,불명확한 단어를 '개척'으로 치환했지만 다른 원문일 가능성이 있음
온라인 저출산･고령화 대응 주민 교육･홍보 프로그램 운영,온라인 저출산·고령화 대응 주민 교육·홍보 프로그램 운영,부산,1151,주민 참여형 인구정책 교육･캠페인 추진,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"공동주택 리모델링 : 40개소, 민간어린이집 장기임차 11개소 공동주택 국공립어린이집 시설환경개선비 143개소","공동주택 리모델링 : 40개소, 민간어린이집 장기임차 11개소, 공동주택 국공립어린이집 시설환경개선비 143개소",대구,1180,국공립어린이집 확충,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"공동생활가정 (11개소) 종사자 인건비, 시설 운영비, 보호아동 지원","공동생활가정(11개소) 종사자 인건비, 시설 운영비, 보호아동 지원",대구,1196,요보호아동 그룹홈 운영 지원,공백 정리,공백 제거 후 문자열 동일
"1388 청소년전화, 일시보호소 운영,cys-net 운영위원회, 실행위원회, 필수연계기관 협력 촉진 등","1388 청소년전화, 일시보호소 운영, cys-net 운영위원회, 실행위원회, 필수연계기관 협력 촉진 등",대구,1218,지역사회 청소년안전망 구축(CYS-Net),공백 정리,공백 제거 후 문자열 동일
"권역 난임 우울증 상담센터 1개소 인건비, 운영비 지원","권역 난임우울증 상담센터 1개소 인건비, 운영비 지원",대구,1240,권역 난임우울증 상담센터 운영,공백 정리,공백 제거 후 문자열 동일
"기준중위소득 180% 이하(363명) 선천성 대사 이상 선별검사비(20-50천원), 확진검사비(70천원이내), 환아관리비 지원",기준중위소득 180% 이하(363명) 선천성 대사이상 및 환아관리비 지원,대구,1242,선천성 대사이상 및 환아관리비 지원,원문 유지,선별·확진검사비와 환아관리비 세부 정보가 삭제됨
노인여가프로그램 발굴 및 보급 및 경로당 현항 D/B 구충 구군 경로당 프로그램관리자 역량 강화 교육 및 취약분야 지원,노인여가프로그램 발굴 및 보급 및 경로당 현황 D/B 구축 및 구군 경로당 프로그램관리자 역량 강화 교육 및 취약분야 지원,대구,1266,경로당광역지원센터운영,원문 유지,오탈자 교정과 함께 원문에 없던 접속어 '및'이 추가됨
"청년 취,창업 지원으로 지역혁신 및 지역정착유도",청년 취창업 지원으로 지역혁신 및 지역정착유도,대구,1285,지역주도형청년일자리사업,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
다문화가족의 다양한 문제해결 및 욕구해소를 위한 사레관리 서비스제공,다문화가족의 다양한 문제해결 및 욕구해소를 위한 사례관리 서비스제공,대구,1295,다문화가족 사례관리 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
대구지역 거주 신혼부부에게 전세자금 대출 금액에 대하여 0.5~0.7% 이자지원,지역대구 거주 신혼부부에게 전세자금 대출 금액에 대하여 0.5~0.7% 이자지원,대구,1336,버팀목 신혼부부 전세자금 대출이자 지원,원문 유지,'대구지역'이 '지역대구'로 이동·변형되어 문장이 잘못됨
다자녀가정 고등학생 입학축학금 지원,다자녀가정 고등학생 입학축하금 지원,대구,1338,다자녀가정 고등학생 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"양육보조금(일반, 전문, 일시위탁 구분), 심성관리비, 대학입학･등록금 등 지원","양육보조금(일반, 전문, 일시위탁 구분), 심성관리비, 대학입학·등록금 등 지원",대구,1341,소년소녀가정 및 가정위탁양육 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"둘째아100만원, 셋째아 이상200만원","둘째아 100만원, 셋째아 이상 200만원",대구,1367,출산축하금 지원,공백 정리,공백 제거 후 문자열 동일
"둘째아 5만원*24개월, 셋째아 이상 20만원 *18개월","둘째아 5만원*24개월, 셋째아 이상 20만원*18개월",대구,1368,출산장려금 지원,공백 정리,공백 제거 후 문자열 동일
0 ~ 4세 유아를 둔 유아차를 가지고 있는 부모,0~4세 유아를 둔 유아차를 가지고 있는 부모,대구,1372,유아차 걷기 한마당,공백 정리,공백 제거 후 문자열 동일
"(사)대구노인복지협회 노인복지시설 결연 후원사업 지원을 위한 인건비, 홍보비 지원","(사)대구노인복지협회 노인복지시설 결연후원사업 지원을 위한 인건비, 홍보비 지원",대구,1413,노인복지시설 결연후원사업,공백 정리,공백 제거 후 문자열 동일
지역적 특성과 수요를 반영한 지역별 대표사업 (특화과정) 공모,지역적 특성과 수요를 반영한 지역별 대표사업(특화과정) 공모,대구,1444,시민맞춤형 평생학습,공백 정리,공백 제거 후 문자열 동일
청년 (예비)창업자 발굴 육성,청년(예비)창업자 발굴 육성,대구,1477,C-Seed 청년 스타트업 육성사업 (청년창업 지원사업),공백 정리,공백 제거 후 문자열 동일
지원대상 : 평가등급 B이상 등 요건 총족 어린이집 지원내용 : 어린이집 교재교구비 지원,지원대상 : 평가등급 B이상 등 요건 충족 어린이집 지원내용 : 어린이집 교재교구비 지원,인천,1525,교재교구비 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"저소득, 장애 아동 청소년 구강보건서비스 제공",저소득 장애 아동 청소년 구강보건서비스 제공,인천,1549,"저소득층 아동,청소년 구강보건사업",원문 유지,"'저소득, 장애 아동'의 쉼표 삭제로 지원 대상 의미가 달라질 수 있음"
"[초기지원(확대)] 지원대상 : 1년미만 청년 창업자 10명 지원내용 : 임차료, 마케팅비 등 최대 1,200만원 지원, 컨설팅 1인 3회 지원 [성장지원(신규)] 지원대상 : 청년 1명이상 고용중인 5년이하 청년 창업자 5명 지원내용 : 임차료, 마케팅비 등 최대 1,500만원 지원, 컨설팅 1인 3회 지원","세부사업명(참고용): 청년 창업 재정지원 사업(부평구)
원문: [초기지원(확대)] 지원대상 : 1년미만 청년 창업자 10명 지원내용 : 임차료, 마케팅비 등 최대 1,200만원 지원, 컨설팅 1인 3회 지원 [성장지원(신규)] 지원대상 : 청년 1명이상 고용중인 5년이하 청년 창업자 5명 지원내용 : 임차료, 마케팅비 등 최대 1,500만원 지원, 컨설팅 1인 3회 지원",인천,1614,청년 창업 재정지원 사업(부평구),원문 유지,사업명과 응답 형식 레이블이 정제문장에 혼입됨
"지원대상 : 유,초,중,고 재(원)학 중인 다문화 학(원)생과 학부모 지원내용 : 학생 맞춤형 교육지원 및 다문화 이해 제고","지원대상 : 유,초,중,고 재학 중인 다문화 학생과 학부모 지원내용 : 학생 맞춤형 교육지원 및 다문화 이해 제고",인천,1616,다문화가족 생애주기별 맞춤형 서비스,원문 유지,"'재(원)학', '학(원)생'의 범위 표시가 삭제됨"
아버지 소통 능력 향상 아버지 역할 및 관계 향상 교육 가족관게 향상 교육 등,아버지 소통 능력 향상 아버지 역할 및 관계 향상 교육 가족관계 향상 교육 등,인천,1641,부평구 열린아버지 학교 운영(부평구),명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
장려수당 : 보육교직원/월 3만원 장기근속수당 : 3년이상 재직 보육교사/월 3만원 평가인증연구활동비 : 평가인증시설에서 1년이상 재직한 보육교사 및 원장/월 5만원 명졀격려수당 : 지급 월 15일 이상 근무한 보육교사/설추석 각 3만원,장려수당 : 보육교직원/월 3만원 장기근속수당 : 3년이상 재직 보육교사/월 3만원 평가인증연구활동비 : 평가인증시설에서 1년이상 재직한 보육교사 및 원장/월 5만원 명절격려수당 : 지급 월 15일 이상 근무한 보육교사/설추석 각 3만원,인천,1659,보육교직원 처우개선 지원(서구),명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
지원대상 : 어린이집 원장 지원내용 : 어린이집원장 역량강화교육 지원,지원대상 : 어린이집 원장 지원내용 : 어린이집 원장 역량강화교육 지원,인천,1664,어린이집 원장 역량강화 교육(미추홀구),공백 정리,공백 제거 후 문자열 동일
"만3~5세 보육료 28,176명 지원(전계층) - 지원단가 * 보 육 료 : 만3~5세 260천원(’21년 기준) * 담임수당 : 240~360천원 * 운 영 비 : 현원에 따른 차등지원","만3~5세 보육료 28,176명 지원(전계층) - 지원단가 * 보육료 : 만3~5세 260천원(’21년 기준) * 담임수당 : 240~360천원 * 운영비 : 현원에 따른 차등지원",인천,1674,만3~5세 누리과정 운영,공백 정리,공백 제거 후 문자열 동일
지원대상 : 중위소득 150%이하 등 지원내용 : 산모신생아 건강관리 서비스 본임부담 일부 지원,지원대상 : 중위소득 150%이하 등 지원내용 : 산모신생아 건강관리 서비스 본인부담금 일부 지원,인천,1760,산모신생아 건강관리 서비스 본인부담금 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"사업대상 : 관내 임사부 및 영유아 사업내용 : 모유수유, 임산부 해피맘육아교실운영","사업대상 : 관내 임산부 및 영유아 사업내용 : 모유수유, 임산부 해피맘육아교실운영",인천,1793,여성과어린이 건강증진사업 (강화군)-신규,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
의료취약계층 대상 무료수술및 암지원사업,의료취약계층 대상 무료수술 및 암지원사업,인천,1818,인천 손은 약손사업,공백 정리,공백 제거 후 문자열 동일
"지원대상 : 인지기능저하자, 경도치매환자 및 가족 등 지원내용 : 뇌건강 북카페 운영 및 인지향상 프르그램 운영 등","지원대상 : 인지기능저하자, 경도치매환자 및 가족 등 지원내용 : 뇌건강 북카페 운영 및 인지향상 프로그램 운영 등",인천,1819,뇌건강학교 운영,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
지원대상 : 치매안심돌봄터(치매전담형주간보호시설) 지원내용 : 치매전담형 주간보호시설로 안정적 전환을 도모하기 위한 한시적 운영비 지원,지원대상 : 치매안심돌봄터(치매전담형 주간보호시설) 지원내용 : 치매전담형 주간보호시설로 안정적 전환을 도모하기 위한 한시적 운영비 지원,인천,1820,치매안심돌봄터(치매전담형 주간보호시설) 운영 지원,공백 정리,공백 제거 후 문자열 동일
공공기관 신규 채용 시 청년의무고용 (정원의 3% 이상),공공기관 신규 채용 시 청년의무고용(정원의 3% 이상),인천,1883,청년의무 고용할당제 확대,공백 정리,공백 제거 후 문자열 동일
지원대상 : 만18세이상 만40세미만 농업인 지원내용 : 기계 섧비 장비 등 생산기반 지원,지원대상 : 만18세이상 만40세미만 농업인 지원내용 : 기계 설비 장비 등 생산기반 지원,인천,1886,청년농업인 영농 스타트업 지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
애로사항이 있는 중소기업에 일자리매니저가 붕문하여 문제진단 및 현장 클리닉을 통해 기업 성장 도모,애로사항이 있는 중소기업에 일자리매니저가 방문하여 문제진단 및 현장 클리닉을 통해 기업 성장 도모,인천,1899,일자리창출을 위한 중소기업 맞춤형 성장프로젝트(남동구)-신규),명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"지원대상 : 10개소(군˙구별 1개소) 지원내용 - 테마가 있는 경로당 환경개선비, 물품구입비 등 지원 * 공유부엌형, 북카페형, 작은복지센터형 등","지원대상 : 10개소(군·구별 1개소) 지원내용 - 테마가 있는 경로당 환경개선비, 물품구입비 등 지원 * 공유부엌형, 북카페형, 작은복지센터형 등",인천,1908,개방형 경로당 사업,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
만8세 미민 아동 수당 지급,만8세 미만 아동 수당 지급,광주,1981,아동수당,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
초등돌봄교실290실운영지원,초등돌봄교실 290실 운영 지원,광주,1983,수요자 중심 온종일돌봄 지속 확충,공백 정리,공백 제거 후 문자열 동일
아동권리 교육 시행,아동권리교육 시행,광주,2100,아동권리교육 및 인식개선,공백 정리,공백 제거 후 문자열 동일
공공시설 비상용 생리대자판기 운영,공공시설 비상용생리대자판기 운영,광주,2107,공공시설 비상용생리대자판기 운영,공백 정리,공백 제거 후 문자열 동일
심뇌 혈관 질환 예방 및 개선 교육,심뇌혈관 질환 예방 및 개선 교육,광주,2119,만성질환 건강지킴이 교실 운영,공백 정리,공백 제거 후 문자열 동일
대한 노인회 남구지회 지원,대한노인회남구지회 지원,광주,2155,대한노인회남구지회 지원,공백 정리,공백 제거 후 문자열 동일
지원대상 : 유치원･어린이 집 등 어린이 급식소 지원내용 : 순회방문･레시피 제공 등 영양･위생관리 지원,지원대상 : 유치원･어린이집 등 어린이 급식소 지원내용 : 순회방문･레시피 제공 등 영양･위생관리 지원,대전,2216,어린이급식관리지원센터 설치운영사업,공백 정리,공백 제거 후 문자열 동일
보건소 등록 임산부에게 표준모자보건수첩 제공,보건소 등록 임산부에게 표준모자보건보건수첩 제공,대전,2244,표준모자보건수첩제작,원문 유지,'보건'이 중복 삽입됨
보건소 등록 임산부에게 표준모자보건수첩 제공,보건소 등록 임산부에게 표준모자보건보건수첩 제공,대전,2261,표준모자보건수첩제작,원문 유지,'보건'이 중복 삽입됨
"육아종합지원 센터 운영(부모교육, 육아상담, 장난감대여, 놀이체험실 운영 등)","육아종합지원센터 운영(부모교육, 육아상담, 장난감대여, 놀이체험실 운영 등)",대전,2372,육아종합지원센터 운영,공백 정리,공백 제거 후 문자열 동일
직장어린이집 운영으로 직원들의 육아부담 해소 및 일·가정 양립에 기여하여 직원 복지 실현,직장어린이집 운영으로 직원들의 육아부담 해소 및 일·가정 양립에 기여하여 직원 복지 실현,대전,2377,대덕구청 직장어린이집 운영,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"매주 금요일을 해피데이로 지정, 정시 퇴근함으로써 가족과 문화･여가 활동 향유","매주 금요일을 해피데이로 지정, 정시 퇴근함으로써 가족과 문화·여가 활동 향유",대전,2378,대덕구 해피데이 (Happy Day) 운영,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
아기 주민등록증 발급,아기주민등록증 발급,대전,2441,아기주민등록증 발급,공백 정리,공백 제거 후 문자열 동일
은퇴자를 대상으로 도서관 (명예)사서 양성 후 도서관 배치(활동),은퇴자를 대상으로 도서관(명예)사서 양성 후 도서관 배치(활동),대전,2500,도서관 실버사서 양성,공백 정리,공백 제거 후 문자열 동일
중고교 신입생 교복 지원,중･고 신입생 교복 지원,대전,2514,중･고 신입생 교복 지원,원문 유지,'중고교'를 사업명 표현으로 재작성하고 '교'를 삭제함
청년들의 자발적 모임 활동 지원을 통해 청년 활동 기반을 강화하고 청년 들의 사회참여 활성화,청년들의 자발적 모임 활동 지원을 통해 청년 활동 기반을 강화하고 청년들의 사회참여 활성화,대전,2537,동구 청년커뮤니티 활동 지원 사업,공백 정리,공백 제거 후 문자열 동일
"봉사활동 기관 배치, 실비 지급, 동아리 활동 지원 등 봉사단 운영･관리","봉사활동 기관 배치, 실비 지급, 동아리 활동 지원 등 봉사단 운영·관리",대전,2553,대전금빛평생교육봉사단 운영,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
임차보증금 7천만원 이내 융자 추전과 이자 지원(2.7%),임차보증금 7천만원 이내 융자 추천과 이자 지원(2.7%),대전,2566,청년 주택임차보증금 이자지원,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
"주민들에게 인구문제의 심각성을 알리고 결혼, 출산에 대한 긍정적인 가치관을 심어주가 위함.","주민들에게 인구문제의 심각성을 알리고 결혼, 출산에 대한 긍정적인 가치관을 심어주기 위함.",대전,2575,저출산 인식개선 교육 및 홍보,명백한 오탈자 교정,문맥상 명백한 오탈자 또는 문장부호 교정
도심에 비해 상대적으로 열악한 농촌 보육서비스 활성화를 위해 농촌 소재 어린이집 보육교사 처우개선비,도심보다 상대적으로 열악한 농촌 보육서비스 활성화를 위해 농촌 소재 어린이집 보육교사 처우개선비,울산,2605,농촌 보육교사 특별근무수당 지원,원문 유지,'도심에 비해'를 '도심보다'로 문체 변경
어린이집에 근무하는 담임교사의 처우개선을 위한 수당,어린이집근무담임교사의처우개선을위한수당,울산,2609,담임교사 지원,원문 유지,조사와 공백을 삭제해 문장을 압축·재작성함
"만0~2세 어린이집 이용 영유아 19,827명, 매월 부모가 바우처카드 (아이행복카드) 이용 결제","만0~2세 어린이집 이용 영유아 19,827명, 매월 부모가 바우처카드(아이행복카드) 이용 결제",울산,2636,영유아보육료 지원,공백 정리,공백 제거 후 문자열 동일
