연도,지역,원본행,세부사업명,주요내용,수정전_주요내용_정제,수정후_주요내용_정제,변경유형,판단근거,사업분류재정구분,당해예산,전년도예산,증감액,증감율,예산연결상태,기존_대영역,기존_세부영역,라벨영향검토결과,라벨판단근거
2023,세종,2750,치매전담형 요양시설 설치운영,치며 여르신 돌봄 지원,"치매전담형 요양시설 설치운영
치며 여르신 돌봄 지원",치며 여르신 돌봄 지원,의미보존 오류 수정,원문 앞에 세부사업명을 추가한 의미 외 정보 삽입 복구,자체,767,4742,-3975,-83.8,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,전남,6683,공공산후조리원 지원사업,,공공산후조리원 지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,공통,21,21,0,0.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,전남,6684,산모신생아 건강관리지원사업,,산모신생아 건강관리지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,공통,305,305,0,0.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,전남,6685,산모신생아 건강관리 본인부담금 추가지원,,산모신생아 건강관리 본인부담금 추가지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,공통,25,25,0,0.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,전남,6686,출산가정 방문 산후조리 서비스 확대지원,,출산가정 방문 산후조리 서비스 확대지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,공통,130,130,0,0.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,전남,6687,저소득층 기저귀 조제분유 지원,,저소득층 기저귀 조제분유 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,공통,160,197,-37,-18.8,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,전남,6688,신생아 양육비 지원,,신생아 양육비 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,공통,0,22,-22,-100.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,전남,6689,첫만남이용권 지원사업,,첫만남이용권 지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,공통,722,678,44,6.5,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,전남,6690,다둥이가정 육아용품 구입비 지원사업,,다둥이가정 육아용품 구입비 지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,공통,12,17,-5,-29.4,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,전남,6693,한방난임치료 지원사업,,한방난임치료 지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,공통,15,15,0,0.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,전남,6697,모자보건사업(보조),,"세부사업명(참고용): 모자보건사업(보조)
원문:
",,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,공통,18,18,0,0.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,전남,6982,임부 산전검진(초음파 등) 검진비 지원,임부 산전 검진쿠폰 제공,임부 산전검진(초음파 등) 검진비 지원,임부 산전 검진쿠폰 제공,의미보존 오류 수정,산전 검진쿠폰 제공 내용을 사업명으로 대체한 의미변경 복구,자체,20,24,-4,-16.7,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,전남,7240,청년희망 아카데미,,청년희망 아카데미,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,20,0,20,,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,제주,8674,서부권역 노인복지관 추가 설치,,서부권역 노인복지관 추가 설치,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,409,0,409,,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충남,5691,캠퍼스 타운 조성,,캠퍼스 타운 조성,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,공통,5815,4100,1715,41.8,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,4925,초등돌봄교실운영,,초등돌봄교실운영,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,공통,8839,89392,-80553,-90.1,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,4944,고졸취업 활성화 지원,,고졸취업 활성화 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,공통,525,492,33,6.7,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5031,어린이집 간식비 지원,,어린이집 간식비 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,67,55,12,21.8,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5032,어린이집 특별활동 강사비 지원,,어린이집 특별활동 강사비 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,28,13,15,115.4,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5034,출산축하금 지원,,출산축하금 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,90,80,10,12.5,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5035,넷째아 이상 출산장려금 지원,,넷째아 이상 출산장려금 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,11,7,4,57.1,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5036,청소년상담복지센터 운영사업,,청소년상담복지센터 운영사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,119,102,17,16.7,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5037,임산부.영유아.출산관 리 지원,,임산부.영유아.출산관 리 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,120,20,100,500.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5038,산모신생아 건강관리 지원,,산모신생아 건강관리 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,44,26,18,69.2,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5039,보은군 행복가족센터 건립,,보은군 행복가족센터 건립,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,960,640,320,50.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5040,새 생명 탄생 축하광고,,새 생명 탄생 축하광고,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,0,0,0,,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5041,초.중.고등학교 입학축하금,,초.중.고등학교 입학축하금,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,210,0,210,,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5042,영유아 양육 바우처지원,,영유아 양육 바우처지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,120,0,120,,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5043,청소년 꿈키움 바우처 지원,,청소년 꿈키움 바우처 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,470,0,470,,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5044,어린이 놀이시설 운영,,어린이 놀이시설 운영,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,360,335,25,7.5,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5194,장수노인 수당지원,,장수노인 수당지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,176,176,0,0.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5195,효도수당 지원사업,,효도수당 지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,24,24,0,0.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5196,경로당 무료급식 사업,,경로당 무료급식 사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,116,116,0,0.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5197,저소득 재가노인 식사배달 사업,,저소득 재가노인 식사배달 사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,102,102,0,0.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5198,경로당 운영비 지원사업,,경로당 운영비 지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,383,382,1,0.3,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5199,A.I 기반 실버케어서비스 운영지원,,A.I 기반 실버케어서비스 운영지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,10,0,10,,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5327,학교급식 우수농산물 지원,,학교급식 우수농산물 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,254,241,13,5.4,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5328,고등학교 학교급식 (조.석식) 지원,,고등학교 학교급식(조.석식) 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,234,245,-11,-4.5,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5329,중.고생 교통비 지원,,중.고생 교통비 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,74,97,-23,-23.7,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5330,보은군민 장학회,,보은군민 장학회,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,1300,1570,-270,-17.2,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5331,결초보은 아카데미 운영,,"세부사업명(참고용): 결초보은 아카데미 운영
원문: 
",,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,20,11,9,81.8,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5332,노인복지대학 운영 지원,,노인복지대학 운영 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,279,279,0,0.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5333,노인회관 취미교실 운영 지원,,노인회관 취미교실 운영 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,61,60,1,1.7,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5334,문화학교 운영,,"세부사업명(참고용): 문화학교 운영
원문: 
",,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,118,91,27,29.7,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5335,학생 아르바이트 활동,,학생 아르바이트 활동,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,380,183,197,107.7,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5338,보은군 청소년수련관 건립사업,,보은군 청소년수련관 건립사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,12550,10900,1650,15.1,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5340,청년 정착 지원사업,,청년 정착 지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,144,0,144,,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5406,결혼이주여성 지원,,결혼이주여성 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,37,5,32,640.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5407,결초보은 문화누리관 운영,,"세부사업명(참고용): 결초보은 문화누리관 운영
원문:
",,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,505,601,-96,-16.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5409,농가 도우미 지원사업,,농가 도우미 지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,49,19,30,157.9,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5410,귀농.귀촌인 지원사업,,귀농.귀촌인 지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,121,157,-36,-22.9,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5411,"맞춤형 주거지원, 행복주택",,"맞춤형 주거지원, 행복주택",,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,0,0,0,,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5412,인구유입 지원사업,,인구유입 지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,607,15,592,3946.7,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5413,신규 거주자 정착지원사업,,신규 거주자 정착지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,135,0,135,,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5414,찾아가는 인구 순회교육,,찾아가는 인구 순회교육,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,5,0,5,,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5415,온-누림 플랫폼 건립사업,,"세부사업명(참고용): 온-누림 플랫폼 건립사업
원문: 
",,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,12400,0,12400,,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5416,농업경영 융.복합지원센터 건립사업,,농업경영 융.복합지원센터 건립사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,6400,0,6400,,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5417,청년 귀농인 정착지원,,청년귀농인 정착지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,75,0,75,,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5426,전입장려금,,전입장려금,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,자체,450,330,120,36.4,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2023,충북,5430,함께하는 溫(온)가족 축제,함께하는 溫(온)가족 축제 지원,함께하는 溫(온)가가족 축제 지원,함께하는 溫(온)가족 축제 지원,의미보존 오류 수정,`온가족`을 `온가가족`으로 바꾼 신규 오탈자 복구,자체,16,0,16,,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2024,경기,3911,청년 신혼부부 주택 전세자금 대출이자 지원 사업,전세자금 대출이자 지원(최대 2%.200만원),전세자금 대출이자 지원(최대 2.200만원),전세자금 대출이자 지원(최대 2%.200만원),의미보존 오류 수정,원문의 금리 기호 `%`를 삭제한 수량 의미변경 복구,자체,203.0,203.0,0.0,0.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2024,경북,6884,노인복지관 운영,노인복지회관 운영으로 여가활동지원,노인복지관 운영,노인복지회관 운영으로 여가활동지원,의미보존 오류 수정,여가활동 지원 내용을 삭제하고 사업명으로 축약한 의미변경 복구,자체,614.0,568.0,46.0,8.1,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2024,경북,6945,노인맞춤돌봄종사 자 활동보조금 지원,노인돌봄수행인력 활동보조비 지원으로 돌봄인 력처우개선,"노인맞춤돌봄종사 자 활동보조금 지원
원문: 노인돌봄수행인력 활동보조비 지원으로 돌봄인 력처우개선",노인돌봄수행인력 활동보조비 지원으로 돌봄인 력처우개선,의미보존 오류 수정,사업명이 추가되고 `원문:` 라벨이 삽입된 정제문에서 라벨·사업명 제거,자체,95.0,87.0,8.0,9.2,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2024,서울,194,민간복지 거점기관 활성화 사업,민간복기거점기관을 활성화하여 지역내 복지자 원 네크워크 구축,민간복지 거점기관 활성화 사업 원문: 민간복지거점기관을 활성화하여 지역내 복지자원 네트워크 구축,민간복지거점기관을 활성화하여 지역내 복지자원 네트워크 구축,의미보존 오류 수정,사업명이 추가되고 `원문:` 라벨이 삽입된 정제문에서 라벨·사업명 제거,자체,62.0,64.0,-2.0,-3.1,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2024,세종,2654,청소년센터 운영지원,"청소년 수련활동, 체험활동을 제공하는 청소년 복합문화고간 운영",청소년 복합문화고간 운영,"청소년 수련활동, 체험활동을 제공하는 청소년 복합문화고간 운영",의미보존 오류 수정,청소년 수련·체험활동 제공 의미를 삭제한 과도한 요약 복구,자체,1693.0,1755.0,-62.0,-3.5,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2024,인천,1455,청년창업 재정지원 사업(부평구),"[초기지원(확대)] 지원대상 : 1년미만청년창업자11명 지원내용 : 임차료,마케팅비등최대1,200만원지원, 컨설팅1인3회지원 [성장지원(신규)] 지원대상 : 청년1명이상고용중인7년이하청년창업 자3명 지원내용 : 임차료,마케팅비등최대1,500만원지원, 컨설팅1인3회지원"" [성장지원(계속)] 지원대상 : 2023년성장지원대상자2명 지원내용 : 청년신규채용시인거비1인당월160만원 지원","세부사업명(참고용): 청년창업 재정지원 사업(부평구)
원문: [초기지원(확대)] 지원대상 : 1년미만청년창업자11명 지원내용 : 임차료,마케팅비등최대1,200만원지원, 컨설팅1인3회지원 [성장지원(신규)] 지원대상 : 청년1명이상고용중인7년이하청년창업 자3명 지원내용 : 임차료,마케팅비등최대1,500만원지원, 컨설팅1인3회지원 [성장지원(계속)] 지원대상 : 2023년성장지원대상자2명 지원내용 : 청년신규채용시인거비1인당월160만원 지원","[초기지원(확대)] 지원대상 : 1년미만청년창업자11명 지원내용 : 임차료,마케팅비등최대1,200만원지원, 컨설팅1인3회지원 [성장지원(신규)] 지원대상 : 청년1명이상고용중인7년이하청년창업 자3명 지원내용 : 임차료,마케팅비등최대1,500만원지원, 컨설팅1인3회지원 [성장지원(계속)] 지원대상 : 2023년성장지원대상자2명 지원내용 : 청년신규채용시인거비1인당월160만원 지원",의미보존 오류 수정,`세부사업명(참고용):`과 `원문:` 메타 라벨이 결과에 포함된 오류 복구,공통,219.0,266.0,-47.0,-17.7,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2024,전남,6102,임부 산전검진(초음파 등) 검진비 지원,임부 산전 검진쿠폰 제공,임부 산전검진(초음파 등) 검진비 지원,임부 산전 검진쿠폰 제공,의미보존 오류 수정,산전 검진쿠폰 제공 내용을 사업명으로 대체한 의미변경 복구,자체,20.0,20.0,0.0,0.0,키 일치·예산 유지,,,재예측 후 변경 시 검토,
2024,전남,6121,산모 신생아 건강관리 지원사업 본인부담금 지원,산모신생아 건강관리서비스 이용자 대상 총서 비스금액의 10 제외한 본인부담금 지원 2회추경시예산편성예정,산모신생아 건강관리서비스 이용자 대상 총서비스금액의 10% 제외한 본인부담금 지원 2회 추경시 예산편성예정,산모신생아 건강관리서비스 이용자 대상 총서 비스금액의 10 제외한 본인부담금 지원 2회추경시예산편성예정,의미보존 오류 수정,원문에 없던 `%` 단위를 추가한 수량 의미변경 복구,자체,12.0,13.0,-1.0,-7.7,키 일치·예산 유지,,,재예측 후 변경 시 검토,
